Wl [µm]	T [%]
1.830	0.16199249
1.829	0.190742031
1.828	0.452638596
1.827	0.247352436
1.826	0.277909577
1.825	0.304605991
1.824	0.406162918
1.823	0.338747293
1.822	0.412459612
1.821	0.515993714
1.820	0.492838353
1.819	0.483444423
1.818	0.602275133
1.817	0.594110668
1.816	0.694651306
1.815	0.686885834
1.814	0.811548829
1.813	0.807962835
1.812	0.85392195
1.811	0.948360741
1.810	1.023965001
1.809	1.049709201
1.808	1.213313818
1.807	1.251106739
1.806	1.354544282
1.805	1.463578463
1.804	1.592911959
1.803	1.70955956
1.802	1.906195879
1.801	2.059710264
1.800	2.205258131
1.799	2.393983126
1.798	2.672672749
1.797	2.88403368
1.796	3.299449682
1.795	3.501201391
1.794	3.900083542
1.793	4.317710876
1.792	4.819279671
1.791	5.379621983
1.790	6.000617027
1.789	6.732913971
1.788	7.549387932
1.787	8.44478035
1.786	9.522252083
1.785	10.66383743
1.784	12.03561497
1.783	13.49411011
1.782	15.15483093
1.781	16.93879318
1.780	18.90142632
1.779	21.108078
1.778	23.45546722
1.777	25.95309258
1.776	28.75401115
1.775	31.47584152
1.774	34.49136734
1.773	37.67675018
1.772	40.80738449
1.771	44.08805084
1.770	47.61841583
1.769	50.83572769
1.768	54.11513519
1.767	57.52577972
1.766	60.8755455
1.765	63.83924484
1.764	66.98121643
1.763	69.84520721
1.762	72.50005341
1.761	75.05594635
1.760	77.52384186
1.759	79.61331177
1.758	81.59922791
1.757	83.42933655
1.756	84.89955902
1.755	86.28089905
1.754	87.58336639
1.753	88.47932434
1.752	89.46177673
1.751	90.22468567
1.750	90.83763885
1.749	91.40692902
1.748	91.91117096
1.747	92.28418732
1.746	92.62947083
1.745	93.02100372
1.744	93.31422424
1.743	93.65817261
1.742	93.90875244
1.741	94.18802643
1.740	94.45687103
1.739	94.73622131
1.738	95.0644455
1.737	95.28517151
1.736	95.58233643
1.735	95.78248596
1.734	95.96659088
1.733	96.22924042
1.732	96.46542358
1.731	96.57966614
1.730	96.76114655
1.729	96.8709259
1.728	97.01613617
1.727	97.0220108
1.726	97.1635437
1.725	97.19586182
1.724	97.21373749
1.723	97.1830368
1.722	97.21809387
1.721	97.16242218
1.720	97.20272064
1.719	97.1163559
1.718	97.12550354
1.717	97.00361633
1.716	97.06310272
1.715	96.96538544
1.714	96.94013977
1.713	96.90484619
1.712	96.92713928
1.711	96.93386841
1.710	96.86952209
1.709	96.93045807
1.708	96.89107513
1.707	96.96079254
1.706	96.93747711
1.705	97.0294342
1.704	97.02185059
1.703	97.10012817
1.702	97.1450119
1.701	97.22608185
1.700	97.23579407
1.699	97.3139801
1.698	97.36320496
1.697	97.37685394
1.696	97.40720367
1.695	97.4886322
1.694	97.46928406
1.693	97.45909119
1.692	97.47373199
1.691	97.43924713
1.690	97.45340729
1.689	97.41457367
1.688	97.44711304
1.687	97.36062622
1.686	97.34492493
1.685	97.21634674
1.684	97.21303558
1.683	97.13297272
1.682	97.08985901
1.681	97.00004578
1.680	97.01987457
1.679	96.93799591
1.678	96.88010406
1.677	96.8180542
1.676	96.82095337
1.675	96.73342133
1.674	96.62841797
1.673	96.69082642
1.672	96.63858032
1.671	96.66181946
1.670	96.59709167
1.669	96.56441498
1.668	96.58816528
1.667	96.6291275
1.666	96.57299805
1.665	96.53533936
1.664	96.59050751
1.663	96.50532532
1.662	96.58062744
1.661	96.56211853
1.660	96.54485321
1.659	96.58985901
1.658	96.54528046
1.657	96.55734253
1.656	96.53433228
1.655	96.56630707
1.654	96.52307129
1.653	96.47940063
1.652	96.40817261
1.651	96.47516632
1.650	96.4414978
1.649	96.4054184
1.648	96.42616272
1.647	96.37412262
1.646	96.42531586
1.645	96.3589859
1.644	96.39271545
1.643	96.33098602
1.642	96.30924988
1.641	96.38744354
1.640	96.32180786
1.639	96.35138702
1.638	96.40336609
1.637	96.40128326
1.636	96.379776
1.635	96.4004364
1.634	96.45396423
1.633	96.46894836
1.632	96.52114105
1.631	96.51789856
1.630	96.60312653
1.629	96.6243515
1.628	96.67102814
1.627	96.71318817
1.626	96.76035309
1.625	96.78422546
1.624	96.86756134
1.623	96.891716
1.622	96.94446564
1.621	97.00653076
1.620	97.03996277
1.619	97.08493042
1.618	97.16402435
1.617	97.20633698
1.616	97.20605469
1.615	97.37419891
1.614	97.26622772
1.613	97.4164505
1.612	97.39024353
1.611	97.47267914
1.610	97.47540283
1.609	97.58666229
1.608	97.54454803
1.607	97.60483551
1.606	97.56182861
1.605	97.62112427
1.604	97.54429626
1.603	97.75293732
1.602	97.65103912
1.601	97.58776093
1.600	97.57176208
1.599	97.48686218
1.598	97.48444366
1.597	97.45716095
1.596	97.49042511
1.595	97.40978241
1.594	97.36130524
1.593	97.21601868
1.592	97.2453537
1.591	97.09166718
1.590	97.12531281
1.589	96.97221375
1.588	96.89775848
1.587	96.81284332
1.586	96.73245239
1.585	96.6788559
1.584	96.5359726
1.583	96.48783875
1.582	96.37755585
1.581	96.28924561
1.580	96.12180328
1.579	96.16564178
1.578	95.97260284
1.577	95.92063141
1.576	95.71195221
1.575	95.80428314
1.574	95.65602112
1.573	95.56145477
1.572	95.4920578
1.571	95.42687225
1.570	95.28423309
1.569	95.18978882
1.568	95.21087646
1.567	95.14807129
1.566	95.09371185
1.565	95.03678894
1.564	95.06937408
1.563	95.01515961
1.562	95.13058472
1.561	95.12127686
1.560	95.1758194
1.559	95.06797028
1.558	95.20843506
1.557	95.22193146
1.556	95.29837036
1.555	95.37962341
1.554	95.47956848
1.553	95.49463654
1.552	95.58867645
1.551	95.68752289
1.550	95.67633057
1.549	95.84283447
1.548	95.87067413
1.547	95.98509216
1.546	96.06604004
1.545	96.06174469
1.544	96.08166504
1.543	96.15150452
1.542	96.14793396
1.541	96.20550537
1.540	96.23219299
1.539	96.20709991
1.538	96.13717651
1.537	96.23335266
1.536	96.11235809
1.535	96.04670715
1.534	95.92987061
1.533	95.89284515
1.532	95.68493652
1.531	95.77305603
1.530	95.52236938
1.529	95.3418045
1.528	95.28052521
1.527	95.06022644
1.526	94.91126251
1.525	94.6519165
1.524	94.46750641
1.523	94.09989929
1.522	93.81710052
1.521	93.53541565
1.520	93.07013702
1.519	92.55183411
1.518	91.95645142
1.517	91.32607269
1.516	90.6558609
1.515	89.82884979
1.514	88.87504578
1.513	87.87802124
1.512	86.78886414
1.511	85.60406494
1.510	84.32926178
1.509	83.00457764
1.508	81.54102325
1.507	80.09511566
1.506	78.68257904
1.505	77.20007324
1.504	75.70435333
1.503	74.30109406
1.502	72.80764008
1.501	71.295784
1.500	69.93317413
1.499	68.50622559
1.498	67.01431274
1.497	65.59918976
1.496	64.11181641
1.495	62.4248085
1.494	60.80187607
1.493	59.00196457
1.492	56.91363144
1.491	54.8177948
1.490	52.56747437
1.489	49.98008347
1.488	47.29995728
1.487	44.46931839
1.486	41.37657166
1.485	38.31356049
1.484	35.23900986
1.483	32.07304001
1.482	28.96753502
1.481	25.88996315
1.480	22.93210793
1.479	20.00185013
1.478	17.55664063
1.477	15.03451729
1.476	12.82202911
1.475	10.84637642
1.474	9.094573975
1.473	7.607983589
1.472	6.396394253
1.471	5.355713367
1.470	4.4336133
1.469	3.758835077
1.468	3.171491146
1.467	2.778579712
1.466	2.400533915
1.465	2.092047691
1.464	1.872128844
1.463	1.675617099
1.462	1.511703491
1.461	1.385599971
1.460	1.269015074
1.459	1.164517879
1.458	1.085044861
1.457	1.014212251
1.456	0.943877161
1.455	0.873466194
1.454	0.814440966
1.453	0.750221014
1.452	0.700172484
1.451	0.647248209
1.450	0.597553551
1.449	0.548531413
1.448	0.495939374
1.447	0.460754424
1.446	0.417827129
1.445	0.356471479
1.444	0.31836465
1.443	0.287897199
1.442	0.254252821
1.441	0.222559348
1.440	0.190699756
1.439	0.167585358
1.438	0.146453843
1.437	0.129694149
1.436	0.108009882
1.435	0.083069101
1.434	0.075127237
1.433	0.064616032
1.432	0.05734263
1.431	0.052300274
1.430	0.044418156
1.429	0.030431047
1.428	0.045097239
1.427	0.036266364
1.426	0.018051296
1.425	0.022358956
1.424	0.017308919
1.423	0.01695211
1.422	0.014424202
1.421	0.024901371
1.420	0.012998283
1.419	0.014438937
1.418	0.00575954
1.417	0.009745014
1.416	0.014005884
1.415	0.013998663
1.414	0.016214062
1.413	0.014802431
1.412	0.011180335
1.411	0.014030413
1.410	0.016478686
1.409	0.006083513
1.408	0.005369532
1.407	0.004275154
1.406	0.006083217
1.405	0.010453256
