Wl [µm]	T [%]
1.440	0.008620905
1.439	0.008615064
1.438	0.002094523
1.437	-0.004016399
1.436	-0.005277917
1.435	0.002486265
1.434	0.00774384
1.433	0.004096977
1.432	-0.005623098
1.431	-0.00521886
1.430	0.0024651
1.429	0.007430658
1.428	-0.002852547
1.427	0.005296121
1.426	0.001635888
1.425	0.009758715
1.424	-0.00489615
1.423	0.005707463
1.422	-0.003280604
1.421	0.004062702
1.420	0.013858025
1.419	-0.002479256
1.418	-0.001258424
1.417	-0.010259886
1.416	0.006502903
1.415	-0.003239681
1.414	0.006022065
1.413	0.001589785
1.412	0.002388405
1.411	-0.007811674
1.410	0.00812011
1.409	-0.002525752
1.408	0.015384269
1.407	0.001554012
1.406	-0.015663929
1.405	0.008069189
1.404	0.014515431
1.403	0.010086589
1.402	-0.000513337
1.401	0.002347438
1.400	0.006041203
1.399	0.005141443
1.398	0.019101428
1.397	0.018497875
1.396	0.023430269
1.395	0.010873096
1.394	0.019881517
1.393	0.017450001
1.392	0.028531611
1.391	0.019489577
1.390	0.016946448
1.389	0.044780284
1.388	0.047418792
1.387	0.055126626
1.386	0.036077939
1.385	0.054253668
1.384	0.056525234
1.383	0.058564607
1.382	0.089977875
1.381	0.116367757
1.380	0.105809107
1.379	0.133554325
1.378	0.141363934
1.377	0.163498581
1.376	0.201277509
1.375	0.221341729
1.374	0.250982225
1.373	0.286899477
1.372	0.300389051
1.371	0.338644952
1.370	0.40234834
1.369	0.451928616
1.368	0.491842449
1.367	0.551466465
1.366	0.617187738
1.365	0.696094215
1.364	0.761401355
1.363	0.86687386
1.362	0.981148362
1.361	1.084357023
1.360	1.231714606
1.359	1.406846404
1.358	1.587000728
1.357	1.784577608
1.356	2.038482666
1.355	2.29754591
1.354	2.625482798
1.353	3.016937256
1.352	3.43063426
1.351	3.941660643
1.350	4.543390751
1.349	5.235544205
1.348	6.040834427
1.347	7.018163204
1.346	8.166341782
1.345	9.47429657
1.344	11.03551483
1.343	12.89147472
1.342	14.90246677
1.341	17.22480965
1.340	19.95209122
1.339	22.86326218
1.338	26.05338097
1.337	29.7109375
1.336	33.38563919
1.335	37.3971405
1.334	41.57227707
1.333	45.77895737
1.332	49.9809494
1.331	54.38628387
1.330	58.64698792
1.329	62.57746124
1.328	66.37007904
1.327	70.00517273
1.326	73.05136108
1.325	76.18241882
1.324	78.69009399
1.323	80.84115601
1.322	82.87000275
1.321	84.48309326
1.320	85.66735077
1.319	86.67800903
1.318	87.53774261
1.317	88.30870056
1.316	88.83811951
1.315	89.15136719
1.314	89.44008636
1.313	89.76695251
1.312	89.88880157
1.311	90.02101898
1.310	90.07629395
1.309	90.17038727
1.308	90.23771667
1.307	90.25452423
1.306	90.27497101
1.305	90.25987244
1.304	90.284729
1.303	90.28556824
1.302	90.26951599
1.301	90.1914978
1.300	90.16931915
1.299	90.12456512
1.298	90.08360291
1.297	90.01371002
1.296	89.98274231
1.295	89.85101318
1.294	89.83287811
1.293	89.82833862
1.292	89.68143463
1.291	89.62615967
1.290	89.56182861
1.289	89.51695251
1.288	89.50266266
1.287	89.4397049
1.286	89.41003418
1.285	89.39246368
1.284	89.33730316
1.283	89.33424377
1.282	89.27379608
1.281	89.2771225
1.280	89.23717499
1.279	89.25641632
1.278	89.22158051
1.277	89.17992401
1.276	89.09594727
1.275	89.08120728
1.274	89.03363037
1.273	88.91613007
1.272	88.90886688
1.271	88.89709473
1.270	88.79230499
1.269	88.73416901
1.268	88.65016937
1.267	88.55157471
1.266	88.44507599
1.265	88.34217072
1.264	88.29586029
1.263	88.19566345
1.262	88.14955139
1.261	87.97409821
1.260	87.84955597
1.259	87.72598267
1.258	87.68314362
1.257	87.54421234
1.256	87.39364624
1.255	87.34753418
1.254	87.26178741
1.253	87.10929108
1.252	87.01056671
1.251	86.91703033
1.250	86.79776001
1.249	86.62265778
1.248	86.65190125
1.247	86.53833008
1.246	86.42706299
1.245	86.37386322
1.244	86.39342499
1.243	86.33615112
1.242	86.23434448
1.241	86.19867706
1.240	86.23040009
1.239	86.16534424
1.238	86.20367432
1.237	86.26876068
1.236	86.25644684
1.235	86.27840424
1.234	86.32283783
1.233	86.40304565
1.232	86.45198059
1.231	86.43388367
1.230	86.53014374
1.229	86.52752686
1.228	86.64975739
1.227	86.68418884
1.226	86.73924255
1.225	86.79563904
1.224	86.69550323
1.223	86.7638092
1.222	86.65145874
1.221	86.6463089
1.220	86.59356689
1.219	86.53451538
1.218	86.45928192
1.217	86.33612823
1.216	86.24356079
1.215	86.1132431
1.214	86.08119965
1.213	85.88724518
1.212	85.72138214
1.211	85.59614563
1.210	85.48538208
1.209	85.30423737
1.208	85.24060822
1.207	85.07458496
1.206	84.88852692
1.205	84.78122711
1.204	84.58561707
1.203	84.44621277
1.202	84.24684143
1.201	84.01737976
1.200	83.91387177
1.199	83.73599243
1.198	83.5515976
1.197	83.40371704
1.196	83.23388672
1.195	83.09733582
1.194	82.86934662
1.193	82.66934204
1.192	82.35556793
1.191	82.05246735
1.190	81.55712891
1.189	81.01504517
1.188	80.22120667
1.187	79.36789703
1.186	78.13453674
1.185	76.71508789
1.184	75.1709137
1.183	73.26751709
1.182	70.95415497
1.181	68.60746002
1.180	65.98066711
1.179	63.00920868
1.178	60.07420349
1.177	56.95744705
1.176	53.62794876
1.175	50.27771759
1.174	47.07283401
1.173	43.60454559
1.172	40.29154205
1.171	37.05870056
1.170	33.86611938
1.169	30.7017746
1.168	27.79321671
1.167	24.96503639
1.166	22.20718193
1.165	19.69066238
1.164	17.28736305
1.163	14.96153927
1.162	12.92930698
1.161	11.06650543
1.160	9.284237862
1.159	7.764410019
1.158	6.432113647
1.157	5.191571712
1.156	4.193087101
1.155	3.372637272
1.154	2.676907063
1.153	2.134057283
1.152	1.70686841
1.151	1.3575176
1.150	1.080453992
1.149	0.89927119
1.148	0.73098433
1.147	0.610646009
1.146	0.524941444
1.145	0.459275901
1.144	0.410287768
1.143	0.357711136
1.142	0.321134448
1.141	0.284032136
1.140	0.267044991
1.139	0.238933533
1.138	0.223668322
1.137	0.207322389
1.136	0.193923712
1.135	0.174904779
1.134	0.155290246
1.133	0.148773029
1.132	0.128414527
1.131	0.115321949
1.130	0.106207699
1.129	0.09280543
1.128	0.089591682
1.127	0.068775453
1.126	0.055990059
1.125	0.042307571
1.124	0.029422596
1.123	0.030523896
1.122	0.025975056
1.121	0.021028506
1.120	0.018741591
1.119	0.017344436
1.118	0.000277025
1.117	0.003892619
1.116	0.002275229
1.115	0.00428201
1.114	-0.004594007
1.113	0.00588674
1.112	-0.005419862
1.111	0.008699879
1.110	-0.005035663
1.109	0.00493678
1.108	0.008966217
1.107	0.004647262
1.106	-0.007504945
1.105	-0.001023926
1.104	0.00017138
1.103	0.007410791
1.102	-0.005896301
1.101	-0.001870811
1.100	-0.003901
1.099	-0.007089177
1.098	0.000127306
1.097	-0.000686768
1.096	0.006183694
1.095	-0.005155093
1.094	0.002931799
1.093	0.007281225
1.092	-0.002729449
1.091	-0.019294523
1.090	-0.005993139
1.089	0.001278073
1.088	-0.003599866
1.087	-0.006369182
1.086	-0.005995819
1.085	-0.010893638
1.084	-0.004438628
1.083	-0.00608092
1.082	-0.002797088
1.081	-0.00240858
1.080	-9.12E-06
1.079	-0.004494565
1.078	-0.004842456
1.077	-0.017642023
1.076	-0.006510288
1.075	-0.006547578
1.074	-0.014695261
1.073	-0.009334357
1.072	-0.00128673
1.071	-0.016334178
1.070	-0.014495141
1.069	-0.007350298
1.068	-0.003367767
1.067	-0.009392506
1.066	-0.017563567
1.065	-0.003381309
1.064	-0.006244767
1.063	-0.011707811
1.062	-0.005827042
1.061	-0.001787011
1.060	-0.012736506
1.059	-0.009907078
1.058	-0.008337961
1.057	-0.00425223
1.056	-0.007895072
1.055	-0.00834234
1.054	-0.003481462
1.053	-0.010783756
1.052	-0.003497505
1.051	-0.011384973
1.050	-0.00677718
1.049	-0.000251459
1.048	-0.012852533
1.047	-0.0092377
1.046	-0.008449033
1.045	0.003769534
1.044	-0.017318694
1.043	-0.011722244
1.042	-0.00761209
1.041	0.003733331
1.040	-0.002376338
