Wl [µm]	T [%]
2.450	1.422340751
2.449	0.869933486
2.448	1.256885171
2.447	1.120382786
2.446	1.669254303
2.445	1.09360683
2.444	1.872299433
2.443	1.045581102
2.442	0.360387355
2.441	0.467352808
2.440	2.19563365
2.439	1.015705585
2.438	2.857513666
2.437	1.635154128
2.436	2.936723232
2.435	2.147758484
2.434	1.981009364
2.433	3.895629883
2.432	1.785718083
2.431	4.185237885
2.430	3.36910677
2.429	3.763980865
2.428	4.04685688
2.427	4.372720718
2.426	4.976668358
2.425	5.04974556
2.424	6.270243168
2.423	6.239221096
2.422	6.378317833
2.421	6.845953941
2.420	7.584710598
2.419	8.540923119
2.418	8.913014412
2.417	9.259734154
2.416	10.17936993
2.415	11.14198685
2.414	11.74511528
2.413	12.85748005
2.412	13.69352913
2.411	14.83376312
2.410	16.27868652
2.409	17.84924126
2.408	19.66769218
2.407	19.99913597
2.406	22.05184364
2.405	23.78886414
2.404	25.20872688
2.403	27.06462479
2.402	28.62091637
2.401	30.93829727
2.400	33.02718353
2.399	35.34197998
2.398	37.20983124
2.397	39.41215134
2.396	41.74662018
2.395	44.52025223
2.394	45.92387772
2.393	48.2664566
2.392	51.13925171
2.391	53.47043991
2.390	55.70807648
2.389	57.01813507
2.388	59.11856842
2.387	61.09693146
2.386	62.56973648
2.385	64.27747345
2.384	64.67807007
2.383	67.32254028
2.382	67.94046021
2.381	69.0171814
2.380	70.42657471
2.379	70.65985107
2.378	72.05552673
2.377	73.34953308
2.376	73.19612122
2.375	74.20080566
2.374	74.28617859
2.373	73.62573242
2.372	74.5615387
2.371	74.50854492
2.370	74.3105011
2.369	75.31848145
2.368	74.84934998
2.367	75.97354889
2.366	75.17783356
2.365	75.53334808
2.364	74.9085083
2.363	75.28459167
2.362	75.48475647
2.361	75.31503296
2.360	75.8378067
2.359	76.44883728
2.358	76.13663483
2.357	76.16896057
2.356	76.56129456
2.355	76.7673645
2.354	77.10595703
2.353	77.18826294
2.352	77.44346619
2.351	78.32324982
2.350	78.83795929
2.349	78.72465515
2.348	78.64196777
2.347	79.57871246
2.346	80.28762054
2.345	80.21470642
2.344	81.33604431
2.343	80.91378021
2.342	81.70332336
2.341	82.00098419
2.340	82.38343811
2.339	82.82207489
2.338	82.92490387
2.337	83.65309906
2.336	83.57744598
2.335	83.92481232
2.334	84.23803711
2.333	84.34613037
2.332	84.72857666
2.331	85.45687866
2.330	85.04258728
2.329	85.5760498
2.328	85.02070618
2.327	85.8928299
2.326	85.74127197
2.325	85.28926849
2.324	85.79230499
2.323	86.06082916
2.322	86.18968964
2.321	85.57751465
2.320	85.70228577
2.319	85.75683594
2.318	85.27477264
2.317	85.31298828
2.316	86.05290222
2.315	84.82572174
2.314	84.90787506
2.313	84.81897736
2.312	84.66344452
2.311	84.66855621
2.310	84.34049225
2.309	83.91204834
2.308	83.87273407
2.307	83.64163971
2.306	83.43893433
2.305	82.77442932
2.304	83.38542175
2.303	82.69814301
2.302	82.45362854
2.301	82.31365967
2.300	82.43830872
2.299	82.30656433
2.298	81.73270416
2.297	81.77061462
2.296	81.5881958
2.295	81.32350922
2.294	81.07693481
2.293	80.246521
2.292	81.53816223
2.291	81.34770203
2.290	81.00832367
2.289	81.06606293
2.288	80.49226379
2.287	80.87032318
2.286	80.81143951
2.285	79.59844971
2.284	81.18363953
2.283	80.36854553
2.282	80.15126038
2.281	81.24935913
2.280	80.25327301
2.279	80.79138947
2.278	80.29236603
2.277	80.74025726
2.276	81.29804993
2.275	81.10512543
2.274	81.49429321
2.273	81.02314758
2.272	81.31058502
2.271	80.88942719
2.270	81.52511597
2.269	81.22162628
2.268	81.66369629
2.267	81.47455597
2.266	81.71218109
2.265	81.2442627
2.264	82.28549957
2.263	82.16900635
2.262	82.95993805
2.261	81.43811035
2.260	82.77770233
2.259	83.62152863
2.258	82.52228546
2.257	83.41693115
2.256	83.89897919
2.255	83.19838715
2.254	83.34629822
2.253	83.1557312
2.252	84.61412048
2.251	82.29905701
2.250	84.32270813
2.249	84.11715698
2.248	84.54829407
2.247	84.51984406
2.246	85.54069519
2.245	84.72306824
2.244	84.63201141
2.243	84.86980438
2.242	84.44038391
2.241	86.3524704
2.240	84.66287994
2.239	85.16403198
2.238	85.37165833
2.237	85.38407898
2.236	85.41094971
2.235	86.28416443
2.234	85.02869415
2.233	86.36131287
2.232	86.33547211
2.231	85.65013123
2.230	85.24915314
2.229	86.46913147
2.228	85.48337555
2.227	85.1761322
2.226	84.45928955
2.225	86.00389862
2.224	84.96040344
2.223	86.09520721
2.222	85.44869232
2.221	87.23197174
2.220	84.75182343
2.219	85.42575836
2.218	85.13873291
2.217	85.63787079
2.216	85.42462921
2.215	85.78050995
2.214	85.12886047
2.213	85.1050415
2.212	85.58080292
2.211	86.96690369
2.210	84.62206268
2.209	85.54402161
2.208	85.12618256
2.207	85.38967896
2.206	85.25287628
2.205	86.00269318
2.204	84.81653595
2.203	85.5473175
2.202	84.03423309
2.201	86.8815155
2.200	85.1922226
2.199	84.81179047
2.198	85.27885437
2.197	87.08293152
2.196	85.59414673
2.195	84.40371704
2.194	83.80696106
2.193	84.28460693
2.192	86.38002014
2.191	83.95088196
2.190	83.92726898
2.189	83.47788239
2.188	83.2695694
2.187	83.21349335
2.186	83.92864227
2.185	83.58920288
2.184	83.15596771
2.183	83.66139221
2.182	83.40755463
2.181	83.77359772
2.180	83.44207764
2.179	84.71359253
2.178	82.14910889
2.177	84.84114075
2.176	83.57991028
2.175	85.03353119
2.174	82.74858856
2.173	83.62326813
2.172	81.69979095
2.171	86.45391846
2.170	83.9180603
2.169	84.36569977
2.168	83.29149628
2.167	84.86924744
2.166	83.66008759
2.165	83.03701782
2.164	81.3477478
2.163	81.52510834
2.162	83.54597473
2.161	83.0581131
2.160	82.21755219
2.159	81.25534821
2.158	81.44069672
2.157	82.05652618
2.156	81.83323669
2.155	79.97200775
2.154	82.53578949
2.153	79.5877533
